id,owner,name,spirit,cape,torso,arms,mask,mouth,bottoms,boots,base,alt,eyes,skin
69,0x927365425D35C1a91f973f88AE3ea05503870193,,,,,,Dash,,,,cc0d3d,11b9b5,3b8fa5,ffcb84
70,0xF9f77b9a829DeEFdE74ECcBfFC4eeBaaCa61ccDc,,,,,Gloves,Cross,,,,890ec1,2854e6,844f1d,ffcb84
71,0x9e9C0431eAfE5addF548baCFEa974cCB550DAd45,,,,,Arm Bands,Classic,,Tights,,d22f94,e0369f,a5823b,ffcb84
72,0x26B0D9146b1dcaf90544498d28A7A853fD3680dE,,,,,,,,,,1c1d2f,13141f,4e2906,f9d1b7
73,0x26B0D9146b1dcaf90544498d28A7A853fD3680dE,,,,,Sleeves,Fierce,,,,f18e2f,e0369f,a5693b,f9d1b7
74,0x26B0D9146b1dcaf90544498d28A7A853fD3680dE,,,Hooded,,Left Band,Arrow,,,,f18e2f,1da951,3ba577,5a3214
75,0x26B0D9146b1dcaf90544498d28A7A853fD3680dE,,,,Shirt,Sleeves,Striped,,,,1c49d8,e8b63a,a5823b,b97a50
76,0xF7140F27D4ddf84FcdaE97B655E20E601d2a4fFb,,,,Singlet,,Winged,,,,f7c23c,9511d2,4e2906,3a1b09
77,0xF7140F27D4ddf84FcdaE97B655E20E601d2a4fFb,,,,,Sleeves,Split,Moustache,,,cc0d3d,13141f,3b8fa5,ffcb84
78,0xF7140F27D4ddf84FcdaE97B655E20E601d2a4fFb,,,,,,Dash,,,,890ec1,2854e6,7fa53b,f39c77
79,0xF7140F27D4ddf84FcdaE97B655E20E601d2a4fFb,,,,,Arm Bands,Striped,,,,1c49d8,2854e6,3ba599,f39c77
80,0xBE732bdD5b1218A4Da23C27F1a0dF8be228AF13C,Lucha Link,Bull,,,Right Band,Striped,,,,13cac6,9511d2,3ba599,f7b897
81,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,,,Fierce,,,,ebebf7,2854e6,3b6ba5,b97a50
82,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,Hooded,Suspenders,Gloves,Split,,,,890ec1,1da951,339842,f39c77
83,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,,Sleeves,Split,,,High,d22f94,2854e6,3ba599,50270e
84,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,Suspenders,,Striped,Moustache,,Two Tone,19b554,9511d2,339842,f9d1b7
85,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,Jaguar,Classic,,Sleeves,Bolt,,,,1c49d8,e8b63a,a5693b,50270e
86,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,Bull,,,Sleeves,Winged,,,,1c1d2f,9511d2,339842,ffcb84
87,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,Bull,,Singlet,,Classic,,,,19b554,11b9b5,a5823b,f7b897
88,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,Jaguar,,,,,,,Two Tone,1c49d8,1da951,4e2906,bd7e47
89,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,,Wrist Bands,Cross,,Tights,,13cac6,e28327,7fa53b,f9d1b7
90,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,Jaguar,Classic,,,,,Trunk Tights,,13cac6,e8b63a,3ba577,f9d1b7
91,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,,Left Band,Striped,,,,13cac6,9511d2,3b6ba5,b97e4b
92,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,,Sleeves,Winged,,,,890ec1,13141f,4e2906,ffcb84
93,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,,,Classic,,,,d22f94,1da951,844f1d,f39c77
94,0xC90A4045670273822149E6a4f1ccF8aCCb308223,,,,Suspenders,Arm Bands,Split,,,High,ebebf7,ea184d,3b8fa5,b97e4b
95,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,Jaguar,,,,Dash,Moustache,Tights,,d22f94,9511d2,a5693b,f39c77
96,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,,,,Gloves,Classic,,Tights,,890ec1,e8b63a,844f1d,ffcb84
97,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,,,,Wrist Bands,Arrow,,,High,f18e2f,dadae6,844f1d,f7b897
98,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,Bull,Classic,,,Classic,,,,890ec1,e28327,3ba577,3a1b09
99,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,,Classic,Open Shirt,,Dash,Moustache,,,19b554,9511d2,3ba577,ffcb84
100,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,,,,Gloves,Arrow,,,,d22f94,e8b63a,3ba577,5a3214
101,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,,,Open Shirt,,Dash,,Trunk Tights,,cc0d3d,13141f,3ba599,5a3214
102,0x378a63Def54D046FB67c3868B0bbb06b5deD1a3c,,,,Open Shirt,Gloves,Dash,,,,f18e2f,ea184d,a5823b,b97e4b
103,0x5e1127BE6dab460330E97E0DbB4912aCcf6Ea178,,,,,Right Band,Striped,,,,1c49d8,1da951,a5823b,b97e4b
104,0x7362c41F92Aa7dF9E6F963925DFf0f1417e80B94,,,,,Right Band,Bolt,,,,1c1d2f,dadae6,844f1d,b97e4b
105,0x72651522deaec7f7a1A59d34F522494959EDbB00,,,,,,Arrow,,,,ebebf7,ea184d,7fa53b,5a3214
106,0x5C51A255a9AC2cE0E85FE57a76a5e1976fc6475B,,,,,,Bolt,,,High,f18e2f,13141f,7fa53b,5a3214
107,0xD43a25B442E2C343dAd472A871c5262cCA275Eb4,,,Classic,,Gloves,Cross,,,,1c49d8,e28327,3ba577,ffcb84
108,0x02a1554f23dB6691596E04de2BC302b87a3aA428,,,,,Sleeves,Striped,,,,890ec1,e8b63a,3b8fa5,f39c77
109,0x02a1554f23dB6691596E04de2BC302b87a3aA428,,,,,,Dash,,,,f7c23c,2854e6,339842,f9d1b7
110,0xBd48855db52b9d0B5ea728E75Fb20B74297ac70E,,,,,Gloves,Bolt,,,,d22f94,2854e6,3ba599,f7b897
111,0xBd48855db52b9d0B5ea728E75Fb20B74297ac70E,,Jaguar,,,Left Band,Classic,,,,ebebf7,ea184d,3b6ba5,f39c77
112,0xBd48855db52b9d0B5ea728E75Fb20B74297ac70E,,,Classic,,,Striped,,,,f7c23c,e8b63a,339842,3a1b09
113,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,,Hooded,,Gloves,Bolt,,,,1c49d8,dadae6,4e2906,b97e4b
114,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,Jaguar,,,Gloves,Fierce,Moustache,,,19b554,e8b63a,3b6ba5,bd7e47
115,0x2c18B49b3dA3C664E6b3F1d81A522086d49EBf6C,,,,,Wrist Bands,Dash,,,High,f7c23c,ea184d,3b8fa5,50270e
116,0x3F991CA1c6426142D15B11EF55549faf0e10d696,,Bull,,Open Shirt,Arm Bands,Dash,,,,19b554,11b9b5,339842,3a1b09
117,0xB3dD1EC6DE165273Da2aa98f672a8f387C9FD51B,,,Hooded,Singlet,,Classic,,,,f18e2f,ea184d,a5823b,f39c77
118,0xA8213492b4de6432181126C617964e83AD74c985,,,,,,Dash,,,High,1c49d8,e0369f,a5693b,f39c77
119,0xA8213492b4de6432181126C617964e83AD74c985,,,,,,Winged,,,,13cac6,2854e6,339842,bd7e47
120,0xA8213492b4de6432181126C617964e83AD74c985,,,,Open Shirt,,Split,,,,1c1d2f,e0369f,3b8fa5,ffcb84
121,0xA8213492b4de6432181126C617964e83AD74c985,,,,,Sleeves,Bolt,,Tights,,ebebf7,ea184d,4e2906,b97e4b
122,0xA8213492b4de6432181126C617964e83AD74c985,,,,Open Shirt,Sleeves,Cross,,,,cc0d3d,11b9b5,3b8fa5,b97e4b
123,0xA8213492b4de6432181126C617964e83AD74c985,,,,,,Split,,,,1c49d8,13141f,3ba577,b97e4b
124,0xA8213492b4de6432181126C617964e83AD74c985,,,,,,Winged,,Tights,,f7c23c,ea184d,844f1d,50270e
125,0xA8213492b4de6432181126C617964e83AD74c985,,,,,Wrist Bands,Cross,,,,f7c23c,ea184d,339842,5a3214
126,0xA8213492b4de6432181126C617964e83AD74c985,,,,Suspenders,Wrist Bands,Split,,,,ebebf7,2854e6,3ba599,5a3214
127,0xA8213492b4de6432181126C617964e83AD74c985,,,,,Gloves,Dash,,,,19b554,13141f,4e2906,5a3214
128,0x3AB1E2b75CD7f5d95caCEfc0eDB5d6120eFE9163,TYRONE,,,,Gloves,Arrow,,,,1c1d2f,2854e6,a5823b,3a1b09
129,0x1F0Aa8B6962871f5D995848442ba4aE52f1a747A,,,,,Right Band,Arrow,,,,1c1d2f,1da951,339842,3a1b09
130,0x46104a97FD9c2e03810eb833710CC0F7FA8BA8C2,,,,Open Shirt,,Winged,,,,13cac6,9511d2,339842,f7b897
131,0x5671fD45912a2f93eA4D1706a4440898BBDB7335,,,Classic,,Gloves,,,,,ebebf7,13141f,3b6ba5,ffcb84
132,0xC29B82d23AD18FF55bacf9D93F5d5DF4bd2C72Af,,,,,Gloves,Bolt,,,High,1c1d2f,e8b63a,3ba577,bd7e47
133,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,Classic,Singlet,,Winged,,,,ebebf7,13141f,a5693b,b97e4b
134,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,,Arm Bands,,,,,1c1d2f,1da951,3ba577,50270e
135,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,Shirt,,Split,Moustache,,High,890ec1,e8b63a,7fa53b,50270e
136,0xa648b4Ff446C7D2f6d71ec3d0361B2264AA17822,,,,,Sleeves,Classic,,,High,ebebf7,2854e6,339842,f7b897
137,0xa648b4Ff446C7D2f6d71ec3d0361B2264AA17822,,Bull,,Suspenders,,Split,,,,d22f94,2854e6,3ba599,3a1b09
138,0xa648b4Ff446C7D2f6d71ec3d0361B2264AA17822,,Jaguar,,,,Cross,,,,13cac6,1da951,844f1d,f7b897
139,0xa648b4Ff446C7D2f6d71ec3d0361B2264AA17822,,,,,,,Moustache,,High,13cac6,2854e6,4e2906,f39c77
140,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,Bull,Classic,,,Bolt,,,,f7c23c,13141f,339842,ffcb84
141,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,,,Singlet,Right Band,Cross,,,,d22f94,11b9b5,844f1d,f9d1b7
142,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,,,,Arm Bands,Striped,Moustache,,,19b554,e0369f,7fa53b,f7b897
143,0xF59c15814f3B5fA3f4c8624757847Bc1F18cB2fe,,,,,Wrist Bands,Cross,Moustache,,,890ec1,e8b63a,844f1d,5a3214
144,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,,,,Left Band,Fierce,,Tights,,d22f94,1da951,7fa53b,5a3214
145,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,El Gran Jefe Jelly Bean,,,Singlet,,,,,Two Tone,d22f94,dadae6,3b6ba5,f39c77
146,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,Bull,,,Wrist Bands,Split,,,,19b554,1da951,a5823b,5a3214
147,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,Hooded,,Left Band,Winged,,,,cc0d3d,1da951,4e2906,ffcb84
148,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,,Wrist Bands,Classic,,,,ebebf7,ea184d,a5693b,b97e4b
149,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,Classic,Shirt,Arm Bands,Dash,,,,1c49d8,11b9b5,844f1d,3a1b09
150,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,Jaguar,,Open Shirt,Arm Bands,Arrow,,,,f7c23c,dadae6,844f1d,bd7e47
151,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,Shirt,,Arrow,,,,f18e2f,11b9b5,3ba599,bd7e47
152,0xAdd436c05b17677A723aD6b16B6B0d08C9868850,,,,Singlet,,Bolt,,,,890ec1,13141f,339842,f39c77
153,0x26B0D9146b1dcaf90544498d28A7A853fD3680dE,,,,,Left Band,Arrow,,,,f7c23c,11b9b5,3ba599,b97e4b
154,0xBE732bdD5b1218A4Da23C27F1a0dF8be228AF13C,,,Hooded,Suspenders,Arm Bands,Arrow,,Tights,,1c49d8,dadae6,a5693b,3a1b09
155,0xBE732bdD5b1218A4Da23C27F1a0dF8be228AF13C,,,,Shirt,,Striped,,,,cc0d3d,1da951,3ba599,50270e
156,0xBE732bdD5b1218A4Da23C27F1a0dF8be228AF13C,,,Classic,,,Arrow,,,,f18e2f,2854e6,a5823b,ffcb84
157,0xBE732bdD5b1218A4Da23C27F1a0dF8be228AF13C,El Gallo Feo,,,Shirt,Left Band,Winged,,,,f7c23c,dadae6,a5693b,b97e4b
158,0x0DFB33cB62fE8403479e8F2954a1fa93f046Fab8,,Jaguar,,,Right Band,Bolt,,,,1c1d2f,11b9b5,844f1d,50270e
159,0xe5cfd7863CA57970d520CA295c0ceaf228145d2a,,Jaguar,,Suspenders,Right Band,Striped,,Tights,High,1c49d8,e28327,844f1d,b97a50
160,0xF59c15814f3B5fA3f4c8624757847Bc1F18cB2fe,,,,Shirt,Sleeves,Dash,,,,13cac6,13141f,7fa53b,b97e4b
161,0xBC994bC2AD4072d7394E31922D29e7693701f0fC,,,,,Right Band,Classic,,Trunk Tights,,13cac6,2854e6,3b6ba5,b97a50
162,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,,,Classic,,Left Band,Classic,,,High,19b554,2854e6,339842,f7b897
163,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,,,,Suspenders,,Fierce,Moustache,,High,f7c23c,13141f,3ba599,bd7e47
164,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,,,Hooded,Shirt,Arm Bands,Striped,,,,f7c23c,e0369f,4e2906,3a1b09
165,0xF59c15814f3B5fA3f4c8624757847Bc1F18cB2fe,,,,,,Bolt,,Trunk Tights,Two Tone,1c1d2f,11b9b5,3b8fa5,f7b897
166,0x1c45c6f0a8CDA015527324F2fC83650a582F3AEB,,,Hooded,Suspenders,,Dash,Moustache,,High,890ec1,dadae6,7fa53b,50270e
167,0xFaDE41403a1EEe72d805c42F1Eaf5f53a54D0E0d,,,,,,Classic,,,,1c49d8,e8b63a,7fa53b,f39c77
168,0xB4a9f08E1aDDaa8cE1837e3c73093d2970aae7eA,,,,Shirt,Sleeves,Striped,,Trunk Tights,High,890ec1,e28327,844f1d,b97e4b
169,0xB4a9f08E1aDDaa8cE1837e3c73093d2970aae7eA,,,,Singlet,,Classic,,,Two Tone,1c49d8,ea184d,844f1d,b97e4b
170,0xB4a9f08E1aDDaa8cE1837e3c73093d2970aae7eA,,,,Shirt,Right Band,Arrow,Moustache,,,19b554,9511d2,a5823b,f7b897
171,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,Hooded,,Arm Bands,Arrow,,,,f7c23c,2854e6,a5693b,b97e4b
172,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,,,Winged,Moustache,,,890ec1,dadae6,a5693b,f39c77
173,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,Open Shirt,Left Band,Winged,,,Two Tone,13cac6,11b9b5,7fa53b,b97a50
174,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,,Gloves,Split,,Tights,High,d22f94,ea184d,4e2906,b97a50
175,0x5aE1665A251E62B76bd5Ee55d93b0d579bee42eA,,,,,,Cross,Moustache,,,cc0d3d,1da951,339842,5a3214
176,0xb55b673788B0Be0C108EEaBF6e5DA5751B8d7186,,,,,Left Band,Classic,,Trunk Tights,,1c1d2f,1da951,a5693b,f9d1b7
177,0x2A6d92575ED41CE9C3c118915D22Ea2063D5753c,,,Classic,Suspenders,Left Band,Arrow,Moustache,Trunk Tights,,13cac6,2854e6,3ba599,5a3214
178,0x2A6d92575ED41CE9C3c118915D22Ea2063D5753c,,Jaguar,,Shirt,,Striped,,,,cc0d3d,11b9b5,844f1d,f7b897
179,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,,Classic,,Right Band,Classic,,Tights,High,f7c23c,9511d2,339842,5a3214
180,0xf8819dA929Dd8415a46D614F3a75987a1D76e3dc,,,,,,Striped,,,,ebebf7,1da951,4e2906,bd7e47
181,0xb55b673788B0Be0C108EEaBF6e5DA5751B8d7186,,,,Shirt,,Cross,Moustache,Trunk Tights,High,f7c23c,e0369f,339842,3a1b09
182,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,,,,,Right Band,Fierce,,Trunk Tights,,890ec1,9511d2,3b6ba5,f39c77
183,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,,,,,,Arrow,Moustache,Trunk Tights,,19b554,e0369f,339842,f7b897
184,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,,,Hooded,,Arm Bands,Arrow,,,,1c1d2f,1da951,3ba599,5a3214
185,0x9e171528CB07C9D0A7226b6305d7De12b9E72973,,,,Shirt,,Fierce,,Tights,Two Tone,f7c23c,11b9b5,a5823b,f7b897
186,0x1C04481B1a7629c6Eb195A4Bfa02A89f88Fd138E,,,Hooded,Singlet,Left Band,Cross,,Tights,,f7c23c,e0369f,7fa53b,5a3214
187,0xeB3C8443183DA126d51f39b2E393ceEbCF93c3a9,,,,,Left Band,,,Tights,,19b554,e8b63a,7fa53b,f7b897
